,Claimant(s)/Nationality(ies): i,Date Registered:,Economic Sector:,Instrument(s) Invoked: i,Latest Development:,Outcome of Proceeding:,Respondent(s):,Status of Proceeding:,Subject of Dispute:
335,Garanti Koza LLP (British),20-Jul-11,Transportation,"BIT Turkmenistan - Turkey 1992, BIT United Kingdom of Great Britain and Northern Ireland - Turkmenistan 1995",,"December 19, 2016 - The Tribunal renders its award.",Turkmenistan (Turkmen),Concluded,Construction project
336,"Koch Minerals Sàrl (Swiss), Koch Nitrogen International Sàrl (Swiss)",19-Jul-11,Other Industry,"BIT Venezuela, Republica Bolivariana de - Switzerland 1993",,"October 30, 2017 - The Tribunal renders its award; attached to the award is a partial dissenting opinion by arbitrator Zachary Douglas.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Construction and operation of fertilizer plant
337,"Burimi S.R.L. (Italian), Eagle Games SH.A (Albanian)",12-Jul-11,Other Industry,BIT Albania - Italy 1991 - Investment Law - Albania (1993),,"May 29, 2013 - The Tribunal renders its award.",Republic of Albania (Albanian),Concluded,Gaming industry
338,"Gremcitel S.A. (Peruvian), Renée Rose Levy (French)",24-Jun-11,Construction,BIT France - Peru 1993,,"January 9, 2015 - The Tribunal renders its award.",Republic of Peru (Peruvian),Concluded,Property development project
339,"Damac Gamsha Bay for Development S.A.E. (Egyptian), Damac Park Avenue for Real Estate Development S.A.E. (Egyptian), Hussain Sajwani (United Arab Emirates)",20-Jun-11,Tourism,"BIT Egypt, Arab Republic of - United Arab Emirates 1997",,"September 10, 2014 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",Arab Republic of Egypt (Egyptian),Concluded,Property development projects
340,Ekran Berhad (Malaysian),24-May-11,Services & Trade,"BIT China - Israel 1995, BIT Malaysia - China 1988",,"May 16, 2013 - The parties file a request for the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",People's Republic of China (Chinese),Concluded,Arts and culture facilities
341,"Diamond Fields Liberia, Inc. (British)",20-May-11,"Oil, Gas & Mining",Contract,,"March 11, 2016 - The Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of Liberia (Liberian),Concluded,Mineral exploration operations
342,Rafat Ali Rizvi (British),19-May-11,Finance,BIT Indonesia - United Kingdom of Great Britain and Northern Ireland 1976,,"July 16, 2013 - The Tribunal renders its award; attached to the award is a separate opinion by arbitrator Muthucumaraswamy Sornarajah.",Republic of Indonesia (Indonesian),Concluded,Banking enterprise
343,Fraport AG Frankfurt Airport Services Worldwide (German),27-Apr-11,Transportation,BIT Germany - Philippines 1997,,"September 16, 2014 - The Tribunal decides on the admissibility of new evidence.",Republic of the Philippines (Philippine),Concluded,Construction of an airport terminal
344,"Atlantic Investment Partners LLC (U.S.), Schooner Capital LLC (U.S.), Vincent J. Ryan (U.S.)",26-Apr-11,"Agriculture, Fishing & Forestry",BIT United States of America - Poland 1990,,"November 24, 2015 - The Tribunal renders its award; attached to the award is a partial dissenting opinion by arbitrator Francisco Orrego Vicuña.",Republic of Poland (Polish),Concluded,Vegetable oil production and processing enterprise
345,"AHS Niger (Nigerien), Menzies Middle East and Africa S.A. (Luxembourg)",26-Apr-11,Services & Trade,"Contract, Investment Law - Niger (1989)",,"July 15, 2013 - The Tribunal renders its award.",Republic of Niger (Nigerien),Concluded,Ground handling services
346,"The Williams Companies, International Holdings B.V. (Dutch), WilPro Energy Services (El Furrial) Limited (British), WilPro Energy Services (Pigap II) Limited (British)",20-Apr-11,"Oil, Gas & Mining","BIT Netherlands - Venezuela, Republica Bolivariana de 1991",,"February 8, 2017 - The Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 45.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Gas compression and injection enterprises
347,Caravelí Cotaruse Transmisora de Energía S.A.C. (Peruvian),15-Apr-11,Electric Power & Other Energy,Contract,,"April 15, 2013 - The Tribunal renders its award.",Republic of Peru (Peruvian),Concluded,Electricity transmission agreements
348,Agility for Public Warehousing Company K.S.C. (Kuwaiti),28-Mar-11,Services & Trade,BIT Kuwait - Pakistan 1983,,"August 1, 2016 - The Tribunal renders its award.",Islamic Republic of Pakistan (Pakistani),Concluded,Customs clearance services
349,National Gas S.A.E. (Egyptian),22-Mar-11,"Oil, Gas & Mining","BIT Egypt, Arab Republic of - United Arab Emirates 1997",,"April 3, 2014 - The Tribunal declares the proceeding closed in accordance with ICSID Arbitration Rule 38(1).",Arab Republic of Egypt (Egyptian),Concluded,Gas pipelines construction and operation agreement
350,Bawabet Al Kuwait Holding Company (Kuwaiti),18-Mar-11,Other Industry,"BIT Egypt, Arab Republic of - Kuwait 2001",,"November 11, 2016 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Arab Republic of Egypt (Egyptian),Concluded,Chemical products enterprise
351,Crystallex International Corporation (Canadian),09-Mar-11,"Oil, Gas & Mining","BIT Canada - Venezuela, Republica Bolivariana de 1996",,"April 4, 2016 - The Tribunal renders its award.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Mining company
352,Longreef Investments A.V.V. (Dutch),23-Feb-11,"Agriculture, Fishing & Forestry","BIT Netherlands - Venezuela, Republica Bolivariana de 1991","May 24, 2018 - The ad hoc Committee is constituted in accordance with Article 52(3) of the ICSID Convention. Its members are: David Pawlak (Irish/American), President; Milton Argueta (Guatemalan); and Felipe Bulnes (Chilean); all members appointed by the Chairman of the Administrative Council.","November 6, 2017 - The Tribunal renders its award.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Coffee production facilities
353,Nova Scotia Power Incorporated (Canadian),26-Jan-11,"Oil, Gas & Mining","BIT Canada - Venezuela, Republica Bolivariana de 1996",,"April 30, 2014 - The Tribunal renders its award.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Coal supply agreement
354,"Casinos Austria International Holding GmbH (Austrian), Club Hotel Loutraki S.A. (Greek)",21-Jan-11,Other Industry,"BIT Greece - Serbia 1997, BIT Serbia - Austria 2001",,"January 18, 2012 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 44.",Republic of Serbia (Serbian),Concluded,Operation of gaming and entertainment facilities
355,"Accession Eastern Europe Capital AB (Swedish), Mezzanine Management Sweden AB (Swedish)",20-Jan-11,"Water, Sanitation & Flood Protection",BIT Sweden - Bulgaria 1994,,"July 23, 2012 - The Secretary-General issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 45.",Republic of Bulgaria (Bulgarian),Concluded,Waste management services
356,Türkiye Petrolleri Anonim Ortaklığı (Turkish),14-Jan-11,"Oil, Gas & Mining",BIT Turkey - Kazakhstan 1992 - ECT (Energy Charter Treaty),,"August 18, 2014 - The Tribunal renders its award embodying the parties�_settlement agreement, pursuant to ICSID Arbitration Rule 43(2).",Republic of Kazakhstan (Kazakhstani),Concluded,Oil exploration and production joint venture
357,"Highbury International AVV (Dutch), Ramstein Trading Inc. (Panamanian)",05-Jan-11,"Oil, Gas & Mining","BIT Netherlands - Venezuela, Republica Bolivariana de 1991 - Investment Law - Venezuela (1999)","February 22, 2018 - The ad hoc Committee holds a hearing on annulment in Washington, D.C.","September 26, 2013 - The Tribunal renders its award.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Mining concession
358,"Border Timbers International (Private) Limited (Zimbabwean), Border Timbers Limited (Zimbabwean), Hangani Development Co. (Private) Limited (Zimbabwean)",20-Dec-10,"Agriculture, Fishing & Forestry",BIT Zimbabwe - Switzerland 1996,"April 3, 2018 - April 5, 2018 - The ad hoc Committee holds a hearing on annulment in Paris.","July 28, 2015 - The Tribunal renders its award.",Republic of Zimbabwe (Zimbabwean),Concluded,Forestry and timber processing enterprises
359,İçkale İnşaat Limited Şirketi (Turkish),20-Dec-10,Construction,BIT Turkmenistan - Turkey 1992,,"March 8, 2016 - The Tribunal renders its award; attached to the award are two partially dissenting opinions by arbitrator Carolyn B. Lamm and Philippe Sands.",Turkmenistan (Turkmen),Concluded,Design and construction contracts
360,"TECO Guatemala Holdings, LLC (U.S.)",23-Nov-10,Electric Power & Other Energy,CAFTA-DR (Dominican Republic-Central America Free Trade Agreement),"May 30, 2018 - The Claimant files a reply on the merits.","December 19, 2013 - The Tribunal renders its award.",Republic of Guatemala (Guatemalan),Concluded,Electricity distribution concession
361,"Serdar Elhüseyni (Turkish), Ömer Dede (Turkish)",19-Nov-10,Other Industry,BIT Turkey - Romania 1991,,"September 5, 2013 - The Tribunal declares the proceeding closed in accordance with ICSID Arbitration Rule 38(1).",Romania (Romanian),Concluded,Agricultural machinery and equipment enterprise
362,"Compagnie Minière de Sakania SPRL (Congolese (D.R.)), Frontier SPRL (Congolese (D.R.)), International Quantum Resources Limited (British)",22-Oct-10,"Oil, Gas & Mining","Other, Investment Law - Congo (2002)",,"April 12, 2012 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Democratic Republic of the Congo (Congolese (D.R.)),Concluded,Mining concessions
363,Standard Chartered Bank (Hong Kong) Limited (Chinese),01-Oct-10,Electric Power & Other Energy,Contract,"May 21, 2018 - The ad hoc Committee declares the proceeding closed in accordance with ICSID Arbitration Rules 53 and 38(1).","September 12, 2016 - The Tribunal renders its award.",Tanzania Electric Supply Company Limited (Tanzanian),Concluded,Power purchase agreement
364,"David Minnotte (U.S.), Robert Lewis (U.S.)",14-Sep-10,Other Industry,BIT United States of America - Poland 1990,,"May 16, 2014 - The Tribunal renders its award.",Republic of Poland (Polish),Concluded,Blood treatment and processing facilities
365,"Flughafen Zürich A.G. (Swiss), Gestión e Ingeniería IDC S.A. (Chilean)",09-Aug-10,Transportation,"BIT Venezuela, Republica Bolivariana de - Chile 1993, BIT Venezuela, Republica Bolivariana de - Switzerland 1993","February 19, 2018 - The proposal for disqualification of ad hoc Committee member Álvaro Castellanos Howell is declined by the other two members of the ad hoc Committee.  The proceeding is resumed pursuant to ICSID Arbitration Rules 53 and 9(6).","November 18, 2014 - The Tribunal renders its award; attached to the award is a partial dissenting opinion by arbitrator Raúl Emilio Vinuesa.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,"Development, operation, and maintenance of an airport"
366,Renée Rose Levy de Levi (French),20-Jul-10,Finance,BIT France - Peru 1993,,"February 26, 2014 - The Tribunal renders its award; attached to the award is a dissenting opinion by arbitrator Joaquín Morales Godoy.",Republic of Peru (Peruvian),Concluded,Banking enterprise
367,"AES Corporation (U.S.), Tau Power B.V. (Dutch)",20-Jul-10,Electric Power & Other Energy,"BIT United States of America - Kazakhstan 1992 - ECT (Energy Charter Treaty), Investment Law - Kazakhstan (1994)",,"November 1, 2013 - The Tribunal renders its award.",Republic of Kazakhstan (Kazakhstani),Concluded,Power facilities and trading companies
368,"Adam Friedrich Carl Leopold Franz Severin von Pezold (Swiss,German), Anna Eleonore Elisabeth Webber (Swiss,German), Bernhard Friedrich Arnd Rüdiger von Pezold (German), Elisabeth Regina Maria Gabriele von Pezold (Swiss,German), Felix Alard Moritz Hermannn Kilian von Pezold (Swiss,German), Heinrich Bernd Alexander Josef von Pezold (Swiss,German), Johann Friedrich Georg Ludwig von Pezold (Swiss,German), Maria Juliane Andrea Christiane Katharina Batthyàny (Swiss,German)",08-Jul-10,"Agriculture, Fishing & Forestry","BIT Zimbabwe - Germany 1995, BIT Zimbabwe - Switzerland 1996","April 3, 2018 - April 5, 2018 - The ad hoc Committee holds a hearing on annulment in Paris.","July 28, 2015 - The Tribunal renders its award.",Republic of Zimbabwe (Zimbabwean),Concluded,Commercial farms
369,Opic Karimum Corporation (Panamanian),16-Jun-10,"Oil, Gas & Mining",Investment Law - Venezuela (1999),,"May 28, 2013 - The Tribunal renders its award; attached to the award is a dissenting opinion by arbitrator Guido Santiago Tawil.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Oil exploration and production
370,"Alfa El Corporation (U.S.), Enterprise Business Consultants, Inc. (U.S.), Hassan Awdi (U.S.)",16-Jun-10,Information & Communication,BIT Romania - United States of America 1992,,"March 2, 2015 - The Tribunal renders its award.",Romania (Romanian),Concluded,Press distribution and real estate
371,Standard Chartered Bank (British),11-Jun-10,Electric Power & Other Energy,BIT United Kingdom of Great Britain and Northern Ireland - Tanzania 1994,"March 12, 2013 - The proceeding is suspended, pursuant to the parties�_agreement.","November 2, 2012 - The Tribunal declares the proceeding closed in accordance with ICSID Arbitration Rule 38(1).",United Republic of Tanzania (Tanzanian),Concluded,Power purchase agreement
372,Niko Resources (Bangladesh) Ltd. (Barbadian),27-May-10,"Oil, Gas & Mining",Contract,"August 2, 2017 - Each party files a reply post-hearing brief.",,"Bangladesh Oil Gas and Mineral Corporation (Petrobangla) (Bangladeshi), Bangladesh Petroleum Exploration & Production Company Limited (Bapex) (Bangladeshi)",Pending,Petroleum development contract
373,Olyana Holdings LLC (U.S.),16-Apr-10,"Agriculture, Fishing & Forestry",Contract,,"January 7, 2011 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of Rwanda (Rwandese),Concluded,Tea company
374,"Universal Compression International Holdings, S.L.U. (Spanish)",12-Apr-10,"Oil, Gas & Mining","BIT Spain - Venezuela, Republica Bolivariana de 1995","February 7, 2017 - The suspension of the proceeding is extended until March 31, 2017, pursuant to the parties�_agreement.",,Bolivarian Republic of Venezuela (Venezuelan),Pending,Oil and gas enterprise
375,Pan American Energy LLC (U.S.),12-Apr-10,"Oil, Gas & Mining",BIT Bolivia - United States of America 1998,,"February 24, 2015 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Plurinational State of Bolivia (Bolivian),Concluded,Exploration and exploitation of hydrocarbons
376,"Abal Hermanos S.A. (Uruguay) (Uruguayan), FTR Holding S.A. (Swiss), Philip Morris Brand Sàrl (Switzerland) (Swiss), Philip Morris Products S.A. (Switzerland) (Swiss)",26-Mar-10,Other Industry,BIT Uruguay - Switzerland 1988,,"July 8, 2016 - The Tribunal renders its award; attached to the award is a dissenting opinion by arbitrator Gary Born.",Oriental Republic of Uruguay (Uruguayan),Concluded,Tobacco industry
377,"Miriam Z. Grynberg (U.S.), RSM Production Corporation (U.S.), Rachel S. Grynberg (U.S.), Stephen M. Grynberg (U.S.)",16-Mar-10,"Oil, Gas & Mining",BIT United States of America - Grenada 1986,,"December 10, 2010 - The Tribunal renders its award.",Grenada (Grenadian),Concluded,Oil exploration contract
378,"Jackson Marine, L.L.C. (U.S.), Point Marine, L.L.C. (U.S.), Tidewater Caribe, C.A. (Venezuelan), Tidewater Inc. (U.S.), Tidewater Investment SRL (Barbadian), Twenty Grand Marine Service, L.L.C. (U.S.), Twenty Grand Offshore, L.L.C. (U.S.), Zapata Gulf Marine Operations, L.L.C. (U.S.)",05-Mar-10,Services & Trade,"BIT Venezuela, Republica Bolivariana de - Barbados 1994 - Investment Law - Venezuela (1999)",,"March 13, 2015 - The Tribunal renders its award.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Maritime-support services
379,"Antoine Abou Lahoud (Lebanese), Leila Bounafeh-Abou Lahoud (Lebanese)",04-Mar-10,Services & Trade,Investment Law - Congo (2002),,"February 7, 2014 - The Tribunal renders its award.",Democratic Republic of the Congo (Congolese (D.R.)),Concluded,Trading company
380,Metal-Tech Ltd. (Israeli),04-Feb-10,Other Industry,BIT Israel - Uzbekistan 1994,,"October 4, 2013 - The Tribunal declares the proceeding closed in accordance with ICSID Arbitration Rule 38(1).",Republic of Uzbekistan (Uzbek),Concluded,Molybdenum plant
381,"CCI - Compañía de Concesiones de Infraestructura S.A. (Argentine), Convial Callao S.A. (Peruvian)",02-Feb-10,Transportation,BIT Peru - Argentina 1994,,"May 21, 2013 - The Tribunal renders its award.",Republic of Peru (Peruvian),Concluded,Highway construction project
382,Kılıç İnşaat İthalat İhracat Sanayi ve Ticaret Anonim Şirketi (Turkish),19-Jan-10,Construction,BIT Turkmenistan - Turkey 1992,,"July 2, 2013 - The Tribunal renders its award; attached to the award is a separate opinion by arbitrator William W. Park.",Turkmenistan (Turkmen),Concluded,Construction projects
383,"ADC Management Ltd. (British), AG Concessions Inc. (British), Aecon Investment Corp. (Barbadian), Black Coral Investments Inc. (British), Corporación Quiport S.A. (Ecuadoran), Icaros Development Corporation S.A. (Uruguayan), Quiport Holdings S.A. (Uruguayan)",30-Dec-09,Transportation,Contract,,"November 11, 2011 - The Secretary-General issues an order taking note of the discontinuance of the proceeding pursuant to Arbitration Rule 43(1).",Republic of Ecuador (Ecuadoran),Concluded,"Construction, management and maintenance of airport facilities"
384,"Itera Group NV (Dutch), Itera International Energy LLC (U.S.)",29-Dec-09,"Oil, Gas & Mining","BIT Georgia - Netherlands 1998, BIT United States of America - Georgia 1994",,"November 19, 2010 - The Secretary-General issues an order taking note of the discontinuance of the proceeding pursuant to Arbitration Rule 43(1).",Georgia (Georgian),Concluded,Gas distribution enterprise
385,"UAB ""ARVI"" ir ko (Lithuanian), UAB ""SANITEX"" (Lithuanian)",18-Dec-09,Other Industry,"BIT Serbia - Lithuania 2005, BIT Lithuania - Montenegro 2005",,"March 16, 2015 - The Tribunal decides on the Claimants�_request of March 13, 2015.",Republic of Serbia (Serbian),Concluded,Fertilizer plant
386,"Abengoa, S.A. (Spanish), COFIDES, S.A. (Spanish)",11-Dec-09,"Water, Sanitation & Flood Protection",BIT Spain - Mexico 2006,,"April 18, 2013 - The Tribunal renders its award.",United Mexican States (Mexican),Concluded,Waste disposal enterprise
387,Reinhard Hans Unglaube (German),11-Nov-09,Tourism,BIT Germany - Costa Rica 1994,,"May 16, 2012 - The Tribunal renders its award.",Republic of Costa Rica (Costa Rican),Concluded,Tourism project
388,Gold Reserve Inc. (Canadian),09-Nov-09,"Oil, Gas & Mining","BIT Canada - Venezuela, Republica Bolivariana de 1996",,"September 22, 2014 - The Tribunal renders its award.",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Mining company
389,Carnegie Minerals (Gambia) Limited (Gambian),23-Oct-09,"Oil, Gas & Mining",Contract,"May 21, 2018 - The ad hoc Committee is reconstituted. Its members are Donald McRae (Canadian/New Zealand), President; Bernardo Cremades (Spanish); and Dorothy Ufot  (Nigerian); all members appointed by the Chairman of the Administrative Council. The proceeding is resumed pursuant to ICSID Arbitration Rules 12 and 53.","July 14, 2015 - The Tribunal renders its award.",Republic of The Gambia (Gambian),Concluded,Mining concession
390,Cambodia Power Company (Cambodian),16-Sep-09,Electric Power & Other Energy,Contract,,"April 22, 2013 - The Tribunal renders its award.",Kingdom of Cambodia (Cambodian),Concluded,Electricity generation and distribution operations
391,"Commerce Group Corp. (U.S.), San Sebastian Gold Mines, Inc. (U.S.)",21-Aug-09,"Oil, Gas & Mining","CAFTA-DR (Dominican Republic-Central America Free Trade Agreement), Investment Law - El Salvador (1999)",,"March 14, 2011 - The Tribunal renders its award.",Republic of El Salvador (Salvadoran),Concluded,Mining concession
392,Swisslion DOO Skopje (Macedonian),21-Aug-09,Other Industry,"BIT Switzerland - Macedonia, Former Yugoslav Republic of 1996, BIT Macedonia, Former Yugoslav Republic of - Serbia 1996",,"July 6, 2012 - The Tribunal renders its award.","Macedonia, former Yugoslav Republic of (Macedonian)",Concluded,Food products company
393,"H&H Enterprises Investments, Inc. (U.S.)",11-Aug-09,Tourism,"BIT Egypt, Arab Republic of - United States of America 1986",,"May 6, 2014 - The Tribunal renders its award.",Arab Republic of Egypt (Egyptian),Concluded,Resort management and operation
394,"Mærsk Olie, Algeriet A/S (Danish)",29-Jul-09,"Oil, Gas & Mining",BIT Algeria - Denmark 1999,,"September 30, 2013 - The Tribunal issues a procedural order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",People's Democratic Republic of Algeria (Algerian),Concluded,Exploration and production of liquid hydrocarbons
395,"International Company for Railway Systems (ICRS) (Jordanian), Privatization Holding Company (PHC) (Kuwaiti)",16-Jul-09,Transportation,BIT Jordan - Kuwait 2001 - Contract,,"February 22, 2011 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Hashemite Kingdom of Jordan (Jordanian),Concluded,Light rail system
396,Pac Rim Cayman LLC (U.S.),15-Jun-09,"Oil, Gas & Mining","CAFTA-DR (Dominican Republic-Central America Free Trade Agreement), Investment Law - El Salvador (1999)",,"October 14, 2016 - The Tribunal renders its award.",Republic of El Salvador (Salvadoran),Concluded,Mining concession
397,"Global Trading Resource Corp. (U.S.), Globex International, Inc. (U.S.)",11-Jun-09,"Agriculture, Fishing & Forestry",BIT Ukraine - United States of America 1994,,"December 1, 2010 - The Tribunal renders its award.",Ukraine (Ukrainian),Concluded,Poultry products
398,EVN AG (Austrian),03-Jun-09,Electric Power & Other Energy,"BIT Macedonia, Former Yugoslav Republic of - Austria 2001 - ECT (Energy Charter Treaty)",,"September 2, 2011 - The Tribunal renders the award embodying the parties�_settlement agreement pursuant to ICSID Arbitration Rule 43(2).","Macedonia, former Yugoslav Republic of (Macedonian)",Concluded,Electricity distribution
399,Adem Dogan (German),22-May-09,"Agriculture, Fishing & Forestry",BIT Germany - Turkmenistan 1997,,"August 12, 2014 - The Tribunal renders its award.",Turkmenistan (Turkmen),Concluded,Poultry farm
400,KT Asia Investment Group B.V. (Dutch),20-May-09,Finance,BIT Netherlands - Kazakhstan 2002,,"October 17, 2013 - The Tribunal renders its award.",Republic of Kazakhstan (Kazakhstani),Concluded,Banking enterprise
401,"MTN (Dubai) Limited (United Arab Emirates), MTN Yemen for Mobile Telephones (Yemeni)",01-May-09,Information & Communication,"BIT United Arab Emirates - Yemen, Republic of 2001 - Investment Law - Yemen (2002)",,"June 25, 2010 - The Tribunal renders its award embodying the parties�_settlement agreement, pursuant to ICSID Arbitration Rule 43(2).",Republic of Yemen (Yemeni),Concluded,Operation of a global system for mobile communications (GSM) network
402,"Vattenfall AB (Swedish), Vattenfall Europe AG (German), Vattenfall Europe Generation AG & Co. KG (German)",17-Apr-09,Electric Power & Other Energy,ECT (Energy Charter Treaty),,"March 11, 2011 - The Tribunal renders its award embodying the parties�_settlement agreement, pursuant to ICSID Arbitration Rule 43(2).",Federal Republic of Germany (German),Concluded,Power plant construction project
403,"Iberdrola Energía, S.A. (Spanish)",17-Apr-09,Electric Power & Other Energy,BIT Spain - Guatemala 2002,,"August 17, 2012 - The Tribunal renders its award.",Republic of Guatemala (Guatemalan),Concluded,Electricity distribution concession
404,"Elsamex, S.A. (Spanish)",15-Apr-09,Transportation,Contract,,"November 16, 2012 - The Tribunal renders its award.",Republic of Honduras (Honduran),Concluded,Highway construction project
405,"Caricement B.V. (Dutch), Holcim Limited (Swiss), Holderfin B.V. (Dutch)",10-Apr-09,Construction,"BIT Netherlands - Venezuela, Republica Bolivariana de 1991, BIT Venezuela, Republica Bolivariana de - Switzerland 1993","September 10, 2010 - The parties file a request for the suspension of the proceeding.",,Bolivarian Republic of Venezuela (Venezuelan),Pending,Cement production enterprise
406,Deutsche Bank AG (German),24-Mar-09,Finance,BIT Germany - Sri Lanka 2000,,"October 31, 2012 - The Tribunal renders its award; attached to the award is a dissenting opinion by arbitrator Makhdoom Ali Khan.",Democratic Socialist Republic of Sri Lanka (Sri Lanka),Concluded,Hedging agreement
407,"Autobuses Urbanos del Sur S.A. (Spanish), Teinver S.A. (Spanish), Transportes de Cercanías S.A. (Spanish)",30-Jan-09,Transportation,BIT Spain - Argentina 1991,"June 6, 2018 - The ad hoc Committee decides on the exclusion of evidence.","July 21, 2017 - The Tribunal renders its award; attached to the award is a dissenting opinion by arbitrator Kamal Hossain.",Argentine Republic (Argentine),Concluded,Air transportation services
408,"Millicom International Operations B.V. (Dutch), Sentel GSM S.A. (Senegalese)",31-Dec-08,Information & Communication,BIT Senegal - Netherlands 1979 - Contract,,"November 27, 2012 - The Tribunal renders its award embodying the parties�_settlement agreement, pursuant to ICSID Arbitration Rule 43(2).",Republic of Senegal (Senegalese),Concluded,Telecommunications enterprise
409,Karmer Marble Tourism Construction Industry and Commerce Limited Liability Company (Turkish),31-Dec-08,Transportation,BIT Turkey - Georgia 1992,,"August 9, 2012 - The Tribunal renders its award.",Georgia (Georgian),Concluded,Highway construction project
410,Malicorp Limited (British),16-Dec-08,Transportation,"BIT Egypt, Arab Republic of - United Kingdom of Great Britain and Northern Ireland 1975",,"February 7, 2011 - The Tribunal renders its award.",Arab Republic of Egypt (Egyptian),Concluded,Airport construction project
411,Participaciones Inversiones Portuarias Sàrl (Luxembourg),16-Dec-08,Transportation,BIT Belgium-Luxembourg - Gabon 1998 - Investment Law - Gabon (1998),,"January 10, 2011 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Administrative and Financial Regulation 14(3)(d).",Gabonese Republic (Gabonese),Concluded,Concession regarding two ports
412,GEA Group Aktiengesellschaft (German),21-Nov-08,Other Industry,BIT Ukraine - Germany 1993,,"March 31, 2011 - The Tribunal renders its award.",Ukraine (Ukrainian),Concluded,Petrochemical industry
413,"CEMEX Caracas II Investments B.V. (Dutch), CEMEX Caracas Investments B.V. (Dutch)",30-Oct-08,Construction,"BIT Netherlands - Venezuela, Republica Bolivariana de 1991 - Investment Law - Venezuela (1999)",,"February 15, 2012 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Bolivarian Republic of Venezuela (Venezuelan),Concluded,Cement production enterprise
414,Impregilo S.p.A. (Italian),15-Oct-08,Transportation,BIT Argentina - Italy 1990,,"October 27, 2010 - The Tribunal issues an order for the discontinuance of the proceeding pursuant ICSID Arbitration Rule 43(1).",Argentine Republic (Argentine),Concluded,Highway construction concession
415,Alapli Elektrik B.V. (Dutch),27-Aug-08,Electric Power & Other Energy,BIT Netherlands - Turkey 1986 - ECT (Energy Charter Treaty),,"July 16, 2012 - The Tribunal renders its award; attached to the award is a dissenting opinion by arbitrator Marc Lalonde.",Republic of Turkey (Turkish),Concluded,Electricity concession
416,Caratube International Oil Company LLP (Kazakhstani),26-Aug-08,"Oil, Gas & Mining",BIT United States of America - Kazakhstan 1992,,"June 5, 2012 - The Tribunal renders its award.",Republic of Kazakhstan (Kazakhstani),Concluded,Oil exploration and production contract
417,"B&P, Ltd. Foreign Investments Enterprise (Ukrainian), Bosh International, Inc. (U.S.)",21-Aug-08,Tourism,BIT Ukraine - United States of America 1994,,"October 25, 2012 - The Tribunal renders its award.",Ukraine (Ukrainian),Concluded,Hotel development project
418,"CRS Resources (Ecuador) LDC (British), Murphy Ecuador Oil Company, Ltd. (British), Overseas Petroleum and Investment Corporation (Panamanian), Repsol YPF Ecuador, S.A. (Spanish)",08-Aug-08,"Oil, Gas & Mining",Contract,,"February 9, 2011 - The Tribunal issues an order taking note of the discontinuance of the proceeding pursuant to ICSID Arbitration Rule 43(1).",Republic of Ecuador and Empresa Estatal Petróleos del Ecuador (PetroEcuador) (Ecuadoran),Concluded,Oil exploration contract
419,Ambiente Ufficio S.p.A. and others (nationality not available),28-Jul-08,Finance,BIT Argentina - Italy 1990,,"May 28, 2015 - The Tribunal issues a procedural order for the discontinuance of the proceeding for lack of payment of the required advances, pursuant to ICSID Administrative and Financial Regulation 14(3)(d); attached to the order is an individual statement by arbitrator Santiago Torres Bernárdez.",Argentine Republic (Argentine),Concluded,Debt instruments
420,"Inmaris Perestroika Sailing Maritime Services GmbH (German), Inmaris Windjammer Chartering GmbH i.L. (German), Inmaris Windjammer Sailing GmbH i.L. (German), Windjammer Beteiligungsgesellschaft mbH & Co. KG (German)",16-Jun-08,Tourism,BIT Ukraine - Germany 1993,,"March 1, 2012 - The Tribunal renders its award.",Ukraine (Ukrainian),Concluded,Maritime operations
